target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2537	491.922	9.8591
Solyc05g010600.3.1	1637	1388	1	0.0366329
Solyc04g017960.2.1	150	8.37643	0	0
Solyc04g045315.1.1	1611	1362	0	0
Solyc04g072770.3.1	3093	2844	1492	26.6747
Solyc01g015070.3.1	608	359	0	0
Solyc08g076580.2.1	758	509	138.137	13.7992
Solyc08g008480.2.1	1106	857	1	0.0593308
Solyc01g014103.1.1	1428	1179	139.69	6.0244
Solyc04g011650.3.1	2656	2407	406	8.57652
Solyc11g065557.1.1	2040	1791	1.06798	0.0303201
Solyc04g049610.3.1	4183	3934	7.14796	0.0923865
Solyc02g087935.1.1	2256	2007	2588.01	65.5661
Solyc02g085370.3.1	4460	4211	209.465	2.52922
Solyc01g095480.3.1	2429	2180	2079.58	48.5042
Solyc05g044580.3.1	629	380	133	17.7963
Solyc02g065220.3.1	3659	3410	5	0.074555
Solyc04g017890.2.1	969	720	0	0
Solyc05g009620.3.1	2000	1751	0	0
Solyc07g025390.3.1	1666	1417	346	12.4156
Solyc01g090660.3.1	2518	2269	0	0
Solyc11g020875.1.1	1848	1599	0	0
Solyc12g035822.1.1	447	198	0	0
Solyc08g016080.3.1	2196	1947	6364	166.198
Solyc07g039230.2.1	345	96.0755	0	0
Solyc06g048800.2.1	648	399	0	0
Solyc06g016800.2.1	933	684	0	0
Solyc09g090530.3.1	861	612	0	0
Solyc04g009610.2.1	353	104.031	14	6.84267
Solyc07g055960.2.1	123	6.98871	0	0
Solyc11g007670.2.1	3293	3044	1045	17.4555
Solyc03g116240.3.1	330	81.3281	0	0
Solyc01g109210.2.1	1641	1392	1261.53	46.0806
Solyc08g062290.3.1	1120	871	8	0.467017
Solyc11g062120.2.1	3045	2796	41	0.745603
Solyc05g006680.3.1	2159	1910	268	7.13448
Solyc07g009550.2.1	324	75.5516	3	2.01901
Solyc02g093650.3.1	2422	2173	1	0.0233992
Solyc06g070910.2.1	1456	1207	0	0
Solyc05g013120.3.1	1106	857	94	5.57709
Solyc12g039000.2.1	716	467	0	0
Solyc04g072750.2.1	239	20.9989	0	0
Solyc04g080560.2.1	417	168	0	0
Solyc06g007110.3.1	3157	2908	2786	48.7133
Solyc03g005480.3.1	1679	1430	22	0.782254
Solyc07g062550.3.1	2545	2296	10	0.221457
Solyc05g005210.3.1	1678	1429	312	11.1015
Solyc08g016440.3.1	989	740	564	38.7533
Solyc01g049640.2.1	399	150	0	0
Solyc08g028915.1.1	360	111.014	0	0
Solyc09g083240.3.1	647	398	129	16.4804
Solyc09g056410.2.1	678	429	0	0
Solyc03g059050.2.1	1051	802	44	2.78958
Solyc04g054660.2.1	555	306	0	0
Solyc10g080940.2.1	2583	2334	14249.4	310.425
Solyc04g005680.3.1	1979	1730	8249.97	242.475
Solyc05g051290.3.1	1387	1138	116	5.18295
Solyc04g050440.3.1	1797	1548	0	0
Solyc01g059853.1.1	516	267	8	1.52349
Solyc03g078580.3.1	543	294	320	55.3431
Solyc01g106930.3.1	562	313	0	0
Solyc07g005590.3.1	4253	4004	2081.81	26.4367
Solyc06g007680.2.1	2063	1814	208	5.83025
Solyc01g089960.3.1	1197	948	0	0
Solyc03g006120.3.1	1661	1412	0	0
Solyc07g054000.3.1	701	452	17	1.91237
Solyc02g032360.3.1	521	272	14	2.6171
Solyc02g089140.2.1	447	198	1	0.2568
Solyc03g062910.3.1	5017	4768	75.396	0.804031
Solyc08g014020.3.1	624	375	464	62.9141
Solyc06g043113.1.1	1455	1206	1	0.0421613
Solyc01g150007.1.1	444	195	9	2.34676
Solyc09g031543.1.1	4368	4119	311.501	3.84528
Solyc08g067670.3.1	656	407	84	10.4941
Solyc10g084180.2.1	3498	3249	840	13.1459
Solyc07g041510.2.1	3769	3520	590	8.52256
Solyc03g118770.3.1	1385	1136	3	0.134278
Solyc07g024015.1.1	8967	8718	0	0
Solyc07g009360.2.1	363	114.009	28	12.4876
Solyc03g082950.3.1	878	629	1	0.080837
Solyc11g022440.2.1	258	27.8014	0	0
Solyc03g019970.3.1	1779	1530	0	0
Solyc01g006790.2.1	731	482	22	2.32079
Solyc05g018220.2.1	558	309	20	3.29103
Solyc01g107220.2.1	1167	918	1	0.0553883
Solyc05g051340.2.1	2629	2380	546	11.6648
Solyc09g075840.3.1	328	79.3918	0	0
Solyc03g058370.2.1	1017	768	10	0.662064
Solyc05g007250.3.1	1074	825	829.611	51.1307
Solyc04g048980.3.1	553	304	0	0
Solyc01g011091.1.1	8096	7847	260.217	1.68614
Solyc04g051680.3.1	2052	1803	0	0
Solyc04g082200.2.1	1157	908	22012	1232.64
Solyc11g044632.1.1	686	437	0	0
Solyc06g007430.2.1	2112	1863	2609	71.2069
Solyc08g036560.2.1	741	492	131	13.5384
Solyc01g090340.2.1	988	739	0	0
Solyc08g076720.3.1	4114	3865	466	6.13052
Solyc02g068930.3.1	1005	756	90	6.05315
Solyc01g095170.2.1	922	673	48	3.6265
Solyc07g018400.3.1	174	10.1452	0	0
Solyc07g006300.3.1	2508	2259	208	4.68175
Solyc09g072910.2.1	1314	1065	0	0
Solyc08g075320.3.1	2532	2283	34.0983	0.759429
Solyc03g044273.1.1	5441	5192	65.5738	0.64218
Solyc09g005730.3.1	735	486	35	3.66178
Solyc04g079830.2.1	2469	2220	121	2.77136
Solyc07g041820.2.1	3138	2889	0	0
Solyc01g044510.2.1	547	298	0	0
Solyc03g071853.1.1	894	645	0	0
Solyc01g095070.3.1	869	620	657	53.8809
Solyc06g007890.3.1	568	319	0	0
Solyc09g055610.2.1	105	6.29398	0	0
Solyc04g009590.3.1	568	319	0	0
Solyc02g077240.3.1	2165	1916	565	14.9939
Solyc03g083100.3.1	1862	1613	493	15.5408
Solyc08g006645.1.1	406	157	0	0
Solyc04g007825.1.1	1329	1080	2	0.0941602
Solyc03g044060.3.1	3067	2818	297	5.35891
Solyc06g008980.3.1	1496	1247	2	0.0815501
Solyc10g050757.1.1	1464	1215	0	0
Solyc01g094710.2.1	359	110.015	0	0
Solyc05g017830.2.1	232	19.08	0	0
Solyc11g027940.2.1	462	213	0	0
Solyc03g034130.3.1	840	591	0	0
Solyc04g011990.2.1	3364	3115	5.10697	0.0833616
Solyc07g017560.3.1	2822	2573	0	0
Solyc01g005380.2.1	1818	1569	104.272	3.37913
Solyc12g005820.2.1	826	577	82	7.22602
Solyc03g116170.3.1	1234	985	598	30.8692
Solyc04g016010.3.1	2019	1770	216	6.205
Solyc12g098590.2.1	2992	2743	484	8.97182
Solyc03g082575.1.1	2097	1848	1766.43	48.6022
Solyc09g020070.2.1	1401	1152	0.625298	0.0275992
Solyc07g017330.2.1	730	481	0	0
Solyc01g021700.2.1	1146	897	0	0
Solyc09g055550.3.1	1685	1436	69	2.44318
Solyc01g014537.1.1	654	405	5	0.627734
Solyc03g098750.3.1	1586	1337	613	23.3126
Solyc06g054230.3.1	1995	1746	6	0.17473
Solyc09g010340.2.1	1272	1023	0	0
Solyc06g043140.3.1	1035	786	14.4602	0.935433
