geneID	CS01	CS02	CS03	CS04	CS05	CS06	HT07	HT08	HT09	HT10	HT11	HT12
Solyc05g013120.3.1	-2.607560649130443	-1.9580448458941757	-3.9060344386836796	-5.517441004162601	-5.127209540898611	-4.036362288524835	3.486893895799255	0.7914405213311476	1.878774324364	3.5245974106323836	2.6708101168603093	3.326673069772198
Solyc07g009360.2.1	-3.8299588608358968	-3.09555365709966	-2.03156665945875	-2.347516662860882	-2.805284769397392	-2.4514044600659775	-0.3990573566984012	1.5762688331317434	0.14942017482567901	1.0015728243123567	0.16366710019708555	-0.5468578630288287
Solyc02g077240.3.1	7.783378029266185	8.014149220152959	8.193421375081273	8.866599984795403	9.257505806615356	9.784846452969555	6.903492236664957	4.431814809348057	4.45991857985951	4.215433900974855	6.739335349161014	6.42616738501794
Solyc12g042120.2.1	-2.6075637030466807	-2.6101229455436146	-3.906035901251495	-2.347516020466882	-3.542248381061683	-2.8139698501274917	0.541240836045371	1.5963106333034425	1.7174165591647885	0.7555329147501483	0.38162615117369086	-0.3185835153008272
Solyc09g042300.2.1	-1.7221290162099268	-1.7081763846297044	-1.006679779237781	-1.8084688333439345	-2.293731363514163	-1.3628004036709163	1.1817523542288686	1.8980051746562001	2.1582901790136075	2.2376000320962506	1.222929581404119	0.07734021606734688
Solyc06g082000.3.1	-0.6600295611243281	-0.3730825040908705	-0.44660008243804383	-0.8735832633069404	-1.9572840061648542	-2.161894885218257	3.2020642941102855	2.7870887428834066	3.6316828243750976	2.1728962732851604	2.4209234013992154	2.585959308534276
Solyc10g055740.2.1	-1.022600130359302	1.4280147098733498	-0.6330136651319571	0.15498500984863736	0.9813155287629368	3.2521194563365534	-4.023543104065431	-2.413675810468148	-2.8761139369495283	-3.036557647484914	-1.6338409113205357	-2.216709153312491
Solyc04g054730.3.1	0.6074480602306688	1.121681241790328	0.9519474487408901	2.6169846990890293	2.49484606003773	1.4339617817400503	-3.286579614940063	0.24929244785930768	0.09789163199932072	-0.11599337357475448	-3.7042288754380626	-2.8687835152637904
Solyc09g091510.3.1	9.43257796706197	7.493354081195399	7.255724446030553	8.558790393278056	9.177642655486835	8.566569871514174	5.444740279094404	4.1323621498742975	5.2945270868062195	2.473499731384339	4.022328859636378	4.757449550470475
Solyc03g082975.1.1	2.7421234901809823	1.5972673556809938	2.41896128486787	2.375587819671705	2.1259452430068935	2.1768894812034065	2.3281321612132224	-5.583597727901901	-5.683466990214255	-5.84391291335732	2.353866231914417	2.708911815835015
