target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2537	331.175	5.47541
Solyc05g010600.3.1	1637	1388	3	0.0906591
Solyc04g017960.2.1	150	8.37643	0	0
Solyc04g045315.1.1	1611	1362	0	0
Solyc04g072770.3.1	3093	2844	824	12.1528
Solyc01g015070.3.1	608	359	0	0
Solyc08g076580.2.1	758	509	196.152	16.1642
Solyc08g008480.2.1	1106	857	0	0
Solyc01g014103.1.1	1428	1179	29.2173	1.03946
Solyc04g011650.3.1	2656	2407	756	13.1742
Solyc11g065557.1.1	2040	1791	28.4256	0.665724
Solyc04g049610.3.1	4183	3934	2	0.0213243
Solyc02g087935.1.1	2256	2007	2506.49	52.3839
Solyc02g085370.3.1	4460	4211	213.379	2.12543
Solyc01g095480.3.1	2429	2180	639.459	12.3037
Solyc05g044580.3.1	629	380	277	30.5757
Solyc02g065220.3.1	3659	3410	0	0
Solyc04g017890.2.1	969	720	0	0
Solyc05g009620.3.1	2000	1751	0	0
Solyc07g025390.3.1	1666	1417	290	8.58436
Solyc01g090660.3.1	2518	2269	0	0
Solyc11g020875.1.1	1848	1599	0	0
Solyc12g035822.1.1	447	198	0	0
Solyc08g016080.3.1	2196	1947	1755	37.8086
Solyc07g039230.2.1	345	96.0755	0	0
Solyc06g048800.2.1	648	399	1.02269	0.10751
Solyc06g016800.2.1	933	684	0	0
Solyc09g090530.3.1	861	612	0	0
Solyc04g009610.2.1	353	104.031	8	3.22557
Solyc07g055960.2.1	123	6.98871	0	0
Solyc11g007670.2.1	3293	3044	521	7.17915
Solyc03g116240.3.1	330	81.3281	0	0
Solyc01g109210.2.1	1641	1392	525.842	15.8451
Solyc08g062290.3.1	1120	871	2	0.0963145
Solyc11g062120.2.1	3045	2796	733	10.9963
Solyc05g006680.3.1	2159	1910	217	4.76547
Solyc07g009550.2.1	324	75.5516	0	0
Solyc02g093650.3.1	2422	2173	0	0
Solyc06g070910.2.1	1456	1207	0	0
Solyc05g013120.3.1	1106	857	5	0.24472
Solyc12g039000.2.1	716	467	0	0
Solyc04g072750.2.1	239	20.9989	0	0
Solyc04g080560.2.1	417	168	0	0
Solyc06g007110.3.1	3157	2908	1337	19.2849
Solyc03g005480.3.1	1679	1430	99	2.90388
Solyc07g062550.3.1	2545	2296	2	0.0365374
Solyc05g005210.3.1	1678	1429	480	14.0893
Solyc08g016440.3.1	989	740	484	27.4343
Solyc01g049640.2.1	399	150	0	0
Solyc08g028915.1.1	360	111.014	0	0
Solyc09g083240.3.1	647	398	32	3.37246
Solyc09g056410.2.1	678	429	4	0.391095
Solyc03g059050.2.1	1051	802	1	0.0523004
Solyc04g054660.2.1	555	306	5.64728	0.774101
Solyc10g080940.2.1	2583	2334	1050	18.8698
Solyc04g005680.3.1	1979	1730	8357.73	202.638
Solyc05g051290.3.1	1387	1138	75	2.76439
Solyc04g050440.3.1	1797	1548	0	0
Solyc01g059853.1.1	516	267	0	0
Solyc03g078580.3.1	543	294	85	12.1269
Solyc01g106930.3.1	562	313	0	0
Solyc07g005590.3.1	4253	4004	3245.79	34.0021
Solyc06g007680.2.1	2063	1814	180	4.16212
Solyc01g089960.3.1	1197	948	0	0
Solyc03g006120.3.1	1661	1412	2	0.0594121
Solyc07g054000.3.1	701	452	25	2.31996
Solyc02g032360.3.1	521	272	2	0.308419
Solyc02g089140.2.1	447	198	3	0.63553
Solyc03g062910.3.1	5017	4768	56.2815	0.495119
Solyc08g014020.3.1	624	375	250	27.9633
Solyc06g043113.1.1	1455	1206	26.7778	0.931336
Solyc01g150007.1.1	444	195	3	0.645307
Solyc09g031543.1.1	4368	4119	143	1.45621
Solyc08g067670.3.1	656	407	7	0.721412
Solyc10g084180.2.1	3498	3249	1153	14.8854
Solyc07g041510.2.1	3769	3520	770	9.17546
Solyc03g118770.3.1	1385	1136	1	0.0369234
Solyc07g024015.1.1	8967	8718	2.47281	0.0118974
Solyc07g009360.2.1	363	114.009	2	0.735816
Solyc03g082950.3.1	878	629	0	0
Solyc11g022440.2.1	258	27.8014	0	0
Solyc03g019970.3.1	1779	1530	0	0
Solyc01g006790.2.1	731	482	2	0.174045
Solyc05g018220.2.1	558	309	7	0.950209
Solyc01g107220.2.1	1167	918	0	0
Solyc05g051340.2.1	2629	2380	226	3.98301
Solyc09g075840.3.1	328	79.3918	0	0
Solyc03g058370.2.1	1017	768	1	0.0546158
Solyc05g007250.3.1	1074	825	3774.72	191.916
Solyc04g048980.3.1	553	304	0	0
Solyc01g011091.1.1	8096	7847	290.371	1.55213
Solyc04g051680.3.1	2052	1803	0	0
Solyc04g082200.2.1	1157	908	32408	1497.08
Solyc11g044632.1.1	686	437	0	0
Solyc06g007430.2.1	2112	1863	1324	29.8095
Solyc08g036560.2.1	741	492	167	14.2374
Solyc01g090340.2.1	988	739	0	0
Solyc08g076720.3.1	4114	3865	196	2.12709
Solyc02g068930.3.1	1005	756	275	15.2578
Solyc01g095170.2.1	922	673	37	2.30604
Solyc07g018400.3.1	174	10.1452	0	0
Solyc07g006300.3.1	2508	2259	89	1.65255
Solyc09g072910.2.1	1314	1065	0	0
Solyc08g075320.3.1	2532	2283	20.0188	0.3678
Solyc03g044273.1.1	5441	5192	28.2597	0.228303
Solyc09g005730.3.1	735	486	265	22.8712
Solyc04g079830.2.1	2469	2220	18	0.340094
Solyc07g041820.2.1	3138	2889	0	0
Solyc01g044510.2.1	547	298	0	0
Solyc03g071853.1.1	894	645	0	0
Solyc01g095070.3.1	869	620	598	40.4566
Solyc06g007890.3.1	568	319	0	0
Solyc09g055610.2.1	105	6.29398	0	0
Solyc04g009590.3.1	568	319	0	0
Solyc02g077240.3.1	2165	1916	5524	120.931
Solyc03g083100.3.1	1862	1613	94	2.44441
Solyc08g006645.1.1	406	157	2.01222	0.537596
Solyc04g007825.1.1	1329	1080	0	0
Solyc03g044060.3.1	3067	2818	363	5.40313
Solyc06g008980.3.1	1496	1247	2	0.0672734
Solyc10g050757.1.1	1464	1215	0	0
Solyc01g094710.2.1	359	110.015	0	0
Solyc05g017830.2.1	232	19.08	0	0
Solyc11g027940.2.1	462	213	0	0
Solyc03g034130.3.1	840	591	0	0
Solyc04g011990.2.1	3364	3115	2.04055	0.0274769
Solyc07g017560.3.1	2822	2573	0	0
Solyc01g005380.2.1	1818	1569	331.888	8.87255
Solyc12g005820.2.1	826	577	2	0.14539
Solyc03g116170.3.1	1234	985	775	33.0024
