target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2537	387.26	5.87501
Solyc05g010600.3.1	1637	1388	2	0.0554584
Solyc04g017960.2.1	150	8.37643	0	0
Solyc04g045315.1.1	1611	1362	0	0
Solyc04g072770.3.1	3093	2844	1556	21.0575
Solyc01g015070.3.1	608	359	0	0
Solyc08g076580.2.1	758	509	312.538	23.6326
Solyc08g008480.2.1	1106	857	0	0
Solyc01g014103.1.1	1428	1179	86.3631	2.8193
Solyc04g011650.3.1	2656	2407	383	6.1242
Solyc11g065557.1.1	2040	1791	0	0
Solyc04g049610.3.1	4183	3934	10.0113	0.0979448
Solyc02g087935.1.1	2256	2007	2506.49	48.0667
Solyc02g085370.3.1	4460	4211	280.01	2.55926
Solyc01g095480.3.1	2429	2180	3045.5	53.7685
Solyc05g044580.3.1	629	380	153	15.4965
Solyc02g065220.3.1	3659	3410	24	0.270884
Solyc04g017890.2.1	969	720	0	0
Solyc05g009620.3.1	2000	1751	1	0.0219807
Solyc07g025390.3.1	1666	1417	310	8.42013
Solyc01g090660.3.1	2518	2269	0	0
Solyc11g020875.1.1	1848	1599	0	0
Solyc12g035822.1.1	447	198	1	0.194384
Solyc08g016080.3.1	2196	1947	1948	38.5079
Solyc07g039230.2.1	345	96.0755	0	0
Solyc06g048800.2.1	648	399	0	0
Solyc06g016800.2.1	933	684	0	0
Solyc09g090530.3.1	861	612	0	0
Solyc04g009610.2.1	353	104.031	11	4.06964
Solyc07g055960.2.1	123	6.98871	0	0
Solyc11g007670.2.1	3293	3044	668	8.44614
Solyc03g116240.3.1	330	81.3281	0	0
Solyc01g109210.2.1	1641	1392	2236.39	61.835
Solyc08g062290.3.1	1120	871	3	0.132565
Solyc11g062120.2.1	3045	2796	189	2.60166
Solyc05g006680.3.1	2159	1910	295	5.9445
Solyc07g009550.2.1	324	75.5516	1	0.509428
Solyc02g093650.3.1	2422	2173	5	0.0885599
Solyc06g070910.2.1	1456	1207	0	0
Solyc05g013120.3.1	1106	857	256	11.497
Solyc12g039000.2.1	716	467	0	0
Solyc04g072750.2.1	239	20.9989	0	0
Solyc04g080560.2.1	417	168	0	0
Solyc06g007110.3.1	3157	2908	1301	17.2191
Solyc03g005480.3.1	1679	1430	99	2.66456
Solyc07g062550.3.1	2545	2296	3	0.0502894
Solyc05g005210.3.1	1678	1429	242	6.51793
Solyc08g016440.3.1	989	740	656	34.1192
Solyc01g049640.2.1	399	150	0	0
Solyc08g028915.1.1	360	111.014	0	0
Solyc09g083240.3.1	647	398	96	9.28357
Solyc09g056410.2.1	678	429	1	0.0897159
Solyc03g059050.2.1	1051	802	2	0.0959803
