target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2537	400.348	7.12921
Solyc05g010600.3.1	1637	1388	5	0.162744
Solyc04g017960.2.1	150	8.37643	0	0
Solyc04g045315.1.1	1611	1362	0	0
Solyc04g072770.3.1	3093	2844	877	13.9314
Solyc01g015070.3.1	608	359	0	0
Solyc08g076580.2.1	758	509	204.422	18.144
Solyc08g008480.2.1	1106	857	0	0
Solyc01g014103.1.1	1428	1179	41.0018	1.57113
Solyc04g011650.3.1	2656	2407	846	15.8788
Solyc11g065557.1.1	2040	1791	11.4606	0.289093
Solyc04g049610.3.1	4183	3934	4	0.0459357
Solyc02g087935.1.1	2256	2007	3090.08	69.558
Solyc02g085370.3.1	4460	4211	225.744	2.4219
Solyc01g095480.3.1	2429	2180	704.23	14.5943
Solyc05g044580.3.1	629	380	201	23.8966
Solyc02g065220.3.1	3659	3410	2	0.0264972
Solyc04g017890.2.1	969	720	0	0
Solyc05g009620.3.1	2000	1751	0	0
Solyc07g025390.3.1	1666	1417	311	9.91551
Solyc01g090660.3.1	2518	2269	0	0
Solyc11g020875.1.1	1848	1599	0	0
Solyc12g035822.1.1	447	198	0	0
Solyc08g016080.3.1	2196	1947	1703	39.516
Solyc07g039230.2.1	345	96.0755	0	0
Solyc06g048800.2.1	648	399	1.02472	0.116026
Solyc06g016800.2.1	933	684	0	0
Solyc09g090530.3.1	861	612	0	0
Solyc04g009610.2.1	353	104.031	4	1.73709
Solyc07g055960.2.1	123	6.98871	0	0
Solyc11g007670.2.1	3293	3044	480	7.12395
Solyc03g116240.3.1	330	81.3281	0	0
Solyc01g109210.2.1	1641	1392	575.19	18.668
Solyc08g062290.3.1	1120	871	2	0.103738
Solyc11g062120.2.1	3045	2796	628	10.1472
Solyc05g006680.3.1	2159	1910	231	5.4639
Solyc07g009550.2.1	324	75.5516	0	0
Solyc02g093650.3.1	2422	2173	2	0.041581
Solyc06g070910.2.1	1456	1207	0	0
Solyc05g013120.3.1	1106	857	1	0.0527161
Solyc12g039000.2.1	716	467	2.45032	0.237045
Solyc04g072750.2.1	239	20.9989	0	0
Solyc04g080560.2.1	417	168	0	0
Solyc06g007110.3.1	3157	2908	1493	23.1948
Solyc03g005480.3.1	1679	1430	115	3.63317
Solyc07g062550.3.1	2545	2296	1	0.0196767
Solyc05g005210.3.1	1678	1429	413	13.057
Solyc08g016440.3.1	989	740	329	20.0858
Solyc01g049640.2.1	399	150	0	0
Solyc08g028915.1.1	360	111.014	0	0
Solyc09g083240.3.1	647	398	31	3.51887
Solyc09g056410.2.1	678	429	0	0
Solyc03g059050.2.1	1051	802	2	0.112663
Solyc04g054660.2.1	555	306	0	0
Solyc10g080940.2.1	2583	2334	2333.16	45.1615
Solyc04g005680.3.1	1979	1730	7793.43	203.52
Solyc05g051290.3.1	1387	1138	79	3.13624
Solyc04g050440.3.1	1797	1548	0	0
Solyc01g059853.1.1	516	267	3	0.507615
Solyc03g078580.3.1	543	294	112	17.2106
Solyc01g106930.3.1	562	313	0	0
Solyc07g005590.3.1	4253	4004	3279.09	36.9984
Solyc06g007680.2.1	2063	1814	204	5.08063
Solyc01g089960.3.1	1197	948	1	0.0476558
Solyc03g006120.3.1	1661	1412	2	0.0639911
Solyc07g054000.3.1	701	452	38	3.79813
Solyc02g032360.3.1	521	272	5	0.830473
Solyc02g089140.2.1	447	198	1	0.22817
Solyc03g062910.3.1	5017	4768	63.7149	0.603711
Solyc08g014020.3.1	624	375	301	36.2627
Solyc06g043113.1.1	1455	1206	24.242	0.908123
Solyc01g150007.1.1	444	195	8	1.85345
