target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2537	328.309	5.65921
Solyc05g010600.3.1	1637	1388	4	0.126027
Solyc04g017960.2.1	150	8.37643	0	0
Solyc04g045315.1.1	1611	1362	0	0
Solyc04g072770.3.1	3093	2844	855	13.1471
Solyc01g015070.3.1	608	359	0	0
Solyc08g076580.2.1	758	509	202.281	17.3793
Solyc08g008480.2.1	1106	857	0	0
Solyc01g014103.1.1	1428	1179	31.8709	1.18216
Solyc04g011650.3.1	2656	2407	713	12.9541
Solyc11g065557.1.1	2040	1791	9.86457	0.240866
Solyc04g049610.3.1	4183	3934	4	0.0444651
Solyc02g087935.1.1	2256	2007	3185.84	69.4177
Solyc02g085370.3.1	4460	4211	253.703	2.63472
Solyc01g095480.3.1	2429	2180	816.616	16.3816
Solyc05g044580.3.1	629	380	194	22.326
Solyc02g065220.3.1	3659	3410	1	0.0128245
Solyc04g017890.2.1	969	720	0	0
Solyc05g009620.3.1	2000	1751	0	0
Solyc07g025390.3.1	1666	1417	270	8.33274
Solyc01g090660.3.1	2518	2269	0	0
Solyc11g020875.1.1	1848	1599	0	0
Solyc12g035822.1.1	447	198	1	0.220866
Solyc08g016080.3.1	2196	1947	1744	39.1719
Solyc07g039230.2.1	345	96.0755	0	0
Solyc06g048800.2.1	648	399	0	0
Solyc06g016800.2.1	933	684	0	0
Solyc09g090530.3.1	861	612	0	0
Solyc04g009610.2.1	353	104.031	9	3.78332
Solyc07g055960.2.1	123	6.98871	0	0
Solyc11g007670.2.1	3293	3044	403	5.78967
Solyc03g116240.3.1	330	81.3281	0	0
Solyc01g109210.2.1	1641	1392	897.515	28.1966
Solyc08g062290.3.1	1120	871	2	0.100417
Solyc11g062120.2.1	3045	2796	707	11.058
Solyc05g006680.3.1	2159	1910	250	5.72401
Solyc07g009550.2.1	324	75.5516	0	0
Solyc02g093650.3.1	2422	2173	7	0.140874
Solyc06g070910.2.1	1456	1207	0	0
Solyc05g013120.3.1	1106	857	3	0.153086
Solyc12g039000.2.1	716	467	0	0
Solyc04g072750.2.1	239	20.9989	0	0
Solyc04g080560.2.1	417	168	4	1.04122
Solyc06g007110.3.1	3157	2908	1343	20.1965
Solyc03g005480.3.1	1679	1430	186	5.68814
Solyc07g062550.3.1	2545	2296	0	0
Solyc05g005210.3.1	1678	1429	368	11.2618
Solyc08g016440.3.1	989	740	816	48.2228
Solyc01g049640.2.1	399	150	0	0
Solyc08g028915.1.1	360	111.014	0	0
Solyc09g083240.3.1	647	398	29	3.18646
Solyc09g056410.2.1	678	429	3	0.305814
Solyc03g059050.2.1	1051	802	1	0.054528
Solyc04g054660.2.1	555	306	0	0
Solyc10g080940.2.1	2583	2334	1780.22	33.3555
Solyc04g005680.3.1	1979	1730	8268.86	209.022
Solyc05g051290.3.1	1387	1138	92	3.53541
Solyc04g050440.3.1	1797	1548	0	0
Solyc01g059853.1.1	516	267	3	0.491364
Solyc03g078580.3.1	543	294	69	10.2635
Solyc01g106930.3.1	562	313	0	0
Solyc07g005590.3.1	4253	4004	2872.83	31.3768
Solyc06g007680.2.1	2063	1814	192	4.62869
Solyc01g089960.3.1	1197	948	0	0
Solyc03g006120.3.1	1661	1412	3	0.0929138
Solyc07g054000.3.1	701	452	24	2.32202
Solyc02g032360.3.1	521	272	2	0.321555
Solyc02g089140.2.1	447	198	1	0.220866
Solyc03g062910.3.1	5017	4768	52.0339	0.477247
Solyc08g014020.3.1	624	375	242	28.2213
Solyc06g043113.1.1	1455	1206	13.0852	0.47449
Solyc01g150007.1.1	444	195	7	1.56985
Solyc09g031543.1.1	4368	4119	165	1.75181
Solyc08g067670.3.1	656	407	12	1.28938
Solyc10g084180.2.1	3498	3249	1249	16.8115
Solyc07g041510.2.1	3769	3520	655	8.13752
Solyc03g118770.3.1	1385	1136	1	0.038496
Solyc07g024015.1.1	8967	8718	2.3064	0.0115694
Solyc07g009360.2.1	363	114.009	1	0.383578
Solyc03g082950.3.1	878	629	0	0
Solyc11g022440.2.1	258	27.8014	0	0
Solyc03g019970.3.1	1779	1530	1	0.0285826
Solyc01g006790.2.1	731	482	0	0
Solyc05g018220.2.1	558	309	0	0
Solyc01g107220.2.1	1167	918	1	0.0476377
Solyc05g051340.2.1	2629	2380	196	3.60141
Solyc09g075840.3.1	328	79.3918	0	0
Solyc03g058370.2.1	1017	768	5	0.28471
Solyc05g007250.3.1	1074	825	2765.25	146.58
Solyc04g048980.3.1	553	304	0	0
Solyc01g011091.1.1	8096	7847	268.035	1.49376
Solyc04g051680.3.1	2052	1803	0	0
Solyc04g082200.2.1	1157	908	31400	1512.3
Solyc11g044632.1.1	686	437	0	0
Solyc06g007430.2.1	2112	1863	1266	29.7177
Solyc08g036560.2.1	741	492	190	16.8882
Solyc01g090340.2.1	988	739	0	0
